NTROQUEL	NOMBRE COMERCIAL	PRESENTACION	LABORATORIO	PVP	PSL
3808161	ISOPTO FENICOL	sol.oft.x 15 ml	Alcon	46	23
1771061	ISOPTO FENICOL	ung.oft.x 3.5 g	Alcon	14	7
2638561	ISOPTO MAXIDEX D	susp.oft.x 5 ml	Alcon	48	24
17771	ISOPTOMAX	susp.oft.x 5 ml	Alcon	1642	821
18182	ISOPTOMAX	ung.oft.x 3.5 g	Alcon	1436	718
6337261	JETREA	0.5 mg/2 ml sol.iny.	Alcon	105335	52668
3430621	LACRYVISC	pomo x 10 g	Alcon	34	17
2488081	MIRUS	sol.oft.x 15 ml	Alcon	2064	1032
9929038	MIRUS-S	sol.oft.x 15 ml	Alcon	110	55
2723281	MYDFRIN	2.5% sol.oft.x 5 ml	Alcon	33	17
5473421	NEVANAC	0.1% fco.got.x 5 ml	Alcon	4539	2270
9906572	OFTALMOLETS	gts.oft.x 5 ml	Alcon	51	26
839311	OFTALMOLETS	pda.oft.x 16 unidosis	Alcon	58	29
9929733	OPTI FREE ESTUCHE	estuche p/lentes	Alcon	12	6
9929213	OPTI FREE EXPRESS	env.x 120 ml	Alcon	2161	1081
9929214	OPTI FREE EXPRESS	env.x 355 ml	Alcon	2419	1210
9929220	OPTI FREE LIMPIADOR ENZIMATICO	comp.x 12	Alcon	36	18
9929219	OPTI FREE LIMPIADOR ENZIMATICO	comp.x 4	Alcon	14	7
9929211	OPTI FREE MULTIACCION	env.x 240 ml	Alcon	20	10
9929212	OPTI FREE MULTIACCION	env.x 355 ml	Alcon	27	14
9955505	OPTI FREE PUREMOIST	env.x 120 ml	Alcon	2043	1022
9955506	OPTI FREE PUREMOIST	env.x 300 ml	Alcon	3663	1832
9955507	OPTI FREE PUREMOIST REWETTING	env.x 10 ml	Alcon	928	464
9929215	OPTI SOAK	env.x 120 ml	Alcon	29	15
9929216	OPTI TEARS	env.x 15 ml	Alcon	746	373
4682743	ORLA-WAX	gts.¢ticas x 8 ml	Alcon	28	14
4532094	ORLA-XYL	gts.nasal x 15 ml	Alcon	19	10
4338891	PATANOL	0.1% fco.gotero x 5 ml	Alcon	3377	1689
4338892	PATANOL S	0.2% fco.gotero x 2.5 ml	Alcon	3526	1763
6385971	PAZEO	fco.gotero x 2.5 ml	Alcon	3567	1784
3115221	PILOTIM	sol.oft.x 5 ml	Alcon	39	20
2856101	PLOSTIM	0.25% sol.oft.x 5 ml	Alcon	108	54
2856281	PLOSTIM	0.50% sol.oft.x 5 ml	Alcon	1871	936
2856282	PLOSTIM GEL	0.50% env.x 5 ml	Alcon	108	54
9929217	POLYCLENS II	env.x 24 ml	Alcon	29	15
9921949	RETOXIL	caps.x 90	Alcon	81	41
6376711	SIMBRINZA	susp.oft.x 5 ml	Alcon	6762	3381
9929218	SUPRACLENS	env.x 3 ml	Alcon	27	14
5286662	SYSTANE	Drop Tainer fco.x 15 ml	Alcon	1810	905
6036971	SYSTANE BALANCE	sol.oft.est‚ril x 10 ml	Alcon	3208	1604
6556681	SYSTANE COMPLETE	sol.oft.x 10 ml	Alcon	5384	2692
6139841	SYSTANE GEL EN GOTAS	gel oft.en gotas x 10 ml	Alcon	2474	1237
5557712	SYSTANE ULTRA	sol.oft.est‚ril x 10 ml	Alcon	3746	1873
3169101	TOBRADEX	susp.oft.x 5 ml	Alcon	1140	570
3169282	TOBRADEX	ung.x 3.5 g	Alcon	3082	1541
2876161	TOBREX	gts.oft.x 5 ml	Alcon	2904	1452
2876242	TOBREX	ung.oft.x 3.5 g	Alcon	317	159
3028283	TOLERANE	gts.x 15 ml	Alcon	44	22
4908551	TRAVATAN	sol.oft.x 2.5 ml	Alcon	3386	1693
5830261	VIGADEXA	sol.oft.x 5 ml	Alcon	4529	2265
5193752	VIGAMOX	0.5% sol.oft.x 5 ml	Alcon	4684	2342
6396552	ACILEP O	20 mg caps.x 30	Austral	622	311
4578054	ADENIL	cr.x 20 g	Austral	1052	526
4781741	ADENIL B	cr.x 15 g	Austral	728	364
5031922	AEROLEP	aer.inhal.c/adap.x 250ds	Austral	3008	1504
440347	AESIM 200	200 mg comp.x 20	Austral	1279	640
9924168	ALUTRAL FORTE	susp.x 150 ml	Austral	9	5
9924167	ALUTRAL FORTE	susp.x 360 ml	Austral	16	8
512961	AZITROX	200 mg/5 ml susp.x 15 ml	Austral	887	444
5129561	AZITROX	500 mg comp.x 3	Austral	1531	766
5129563	AZITROX	500 mg comp.x 6	Austral	1882	941
419342	BANOCLUS GEL	pomo x 50 g	Austral	627	314
1500381	BROMHEXINA AUSTRAL	0.08g/100 ml jbe.x 120ml	Austral	8	4
4274362	CEFADUO	1 g comp.rec.x 10	Austral	668	334
9913724	CLORFENIRAMINA AUSTRAL	2 mg/5 ml jbe.x 100 ml	Austral	3	2
9913727	COTRIMOXAZOL AUSTRAL	0.8%/4% jbe.x 60 ml	Austral	10	5
9913726	COTRIMOXAZOL AUSTRAL	80 mg/400 mg comp.x 16	Austral	4	2
9913725	COTRIMOXAZOL AUSTRAL	80 mg/400 mg comp.x 8	Austral	5	3
5257801	DICLOLAM	75 mg comp.x 15	Austral	692	346
5257751	DICLOLAM 50	50 mg comp.x 15	Austral	649	325
4030141	DITRAL	5% jbe.x 90 ml	Austral	11	6
4030062	DITRAL 500	500 mg comp.x 20	Austral	13	7
4017292	DOPATRAL	500 mg comp.x 40	Austral	45	23
9913728	DOXICICLINA AUSTRAL	100 mg comp.x 10	Austral	14	7
4329062	EGOBIOTIC	500 mg comp.rec.x 16	Austral	26	13
4029831	ENATRAL 10	10 mg comp.x 20	Austral	12	6
9917373	ENATRAL 10	10 mg comp.x 50	Austral	31	16
4029911	ENATRAL 20	20 mg comp.x 20	Austral	8	4
4029912	ENATRAL 20	20 mg comp.x 50	Austral	39	20
4029751	ENATRAL 5	5 mg comp.x 20	Austral	8	4
4029752	ENATRAL 5	5 mg comp.x 50	Austral	14	7
4088902	GLITRAL	5 mg comp.x 60	Austral	26	13
9913736	HIDROCORTISONA AUSTRAL	100 mg iny.liof.f.a.x 1	Austral	9	5
9913735	HIDROCORTISONA AUSTRAL	500 mg iny.liof.f.a.x 1	Austral	19	10
9950710	IBU APRACUR	susp.oral x 90 ml	Austral	548	274
9949949	IBU APRACUR 800	comp.rec.x 10	Austral	619	310
6442711	IBU APRACUR FORTE	susp.oral x 100 ml	Austral	587	294
1500471	LACTULOSA AUSTRAL	65% sol.x 250 ml	Austral	27	14
4400903	MACROMICINA	500 mg comp.x 16	Austral	4727	2364
9913741	MEBENDAZOL AUSTRAL	100 mg comp.x 10	Austral	11	6
9913743	MEBENDAZOL AUSTRAL	2% susp.x 60 ml	Austral	6	3
5532682	MEDIFOL 5	5 mg comp.x 30	Austral	207	104
402850	METRAL	2.5% susp.x 100 ml	Austral	13	7
4028421	METRAL	500 mg comp.vag.x 10	Austral	10	5
4028342	METRAL	500 mg comp.x 20	Austral	9	5
3992892	MICOTRAL	2% cr.x 30 g	Austral	660	330
3983561	MOXITRAL	250 mg/5 ml susp.x 60 ml	Austral	15	8
3983482	MOXITRAL	500 mg comp.rec.x 16	Austral	22	11
3983481	MOXITRAL	500 mg comp.rec.x 8	Austral	5	3
4016382	PARATRAL	500 mg comp.x 20	Austral	6	3
9913764	PIRIDOXINA AUSTRAL	200 mg comp.x 10	Austral	8	4
2828062	POLI B FUERTE	comp.rec.x 30	Austral	3372	1686
9913754	POLIVITAMINICO C/MINERALES AUSTRAL	gts.x 30 ml	Austral	19	10
3985701	PRAZITRAL	600 mg comp.x 4	Austral	5947	2974
4841974	PROSTANIL	5 mg comp.rec.x 30	Austral	2333	1167
4017031	RANITRAL 150	150 mg comp.x 20	Austral	16	8
